model_id,x1,x2,x3,x4
lm1,BY_recon_10,,,
lm2a,BY_recon_10,BY_recon_100,,
lm2b,BY_recon_10,RY_Wet_Tim,,
lm3a,BY_recon_10,BY_recon_100,RY_Wet_BFL_Dur,
lm3b,BY_recon_10,RY_Wet_Tim,SY_SP_ROC,
lm4a,BY_recon_10,BY_recon_100,RY_Wet_BFL_Dur,RY_SP_ROC
lm4b,BY_recon_10,RY_Wet_Tim,SY_SP_ROC,RY_discon_10
