"min","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.04","0.04","0.03","0.03","0.03","0.03","0.03","0.04","0.04","0.04","0.04","0.04","0.04","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.11","0.11","0.11","0.11","0.11","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.14","0.15","0.15","0.15","0.16","0.16","0.16","0.16","0.16","0.16","0.16","0.16","0.16","0.17","0.18","0.18","0.18","0.18","0.18","0.17","0.17","0.17","0.17","0.17","0.16","0.16","0.17","0.17","0.18","0.18","0.19","0.19","0.19","0.19","0.16","0.2","0.22","0.23","0.23","0.23","0.23","0.23","0.23","0.24","0.25","0.25","0.29","0.34","0.33","0.31","0.31","0.31","0.34","0.35","0.35","0.36","0.35","0.37","0.36","0.37","0.36","0.36","0.36","0.36","0.37","0.47","0.53","0.55","0.55","0.58","0.6","0.62","0.66","0.74","0.78","0.75","0.75","0.78","0.77","0.77","0.75","0.72","0.72","0.71","0.67","0.64","0.64","0.62","0.61","0.61","0.62","0.59","0.58","0.59","0.59","0.58","0.57","0.56","0.55","0.54","0.52","0.51","0.53","0.52","0.5","0.52","0.64","0.62","0.6","0.59","0.59","0.66","0.68","0.66","0.64","0.65","0.66","0.64","0.61","0.6","0.6","0.59","0.57","0.57","0.58","0.66","0.73","0.69","0.65","0.65","0.62","0.58","0.54","0.53","0.51","0.47","0.47","0.46","0.44","0.44","0.41","0.39","0.4","0.46","0.7","0.75","0.8","0.82","0.78","0.74","0.75","0.82","0.86","0.79","0.73","0.75","0.81","0.76","0.72","0.7","0.64","0.61","0.63","0.7","0.77","0.73","0.72","0.76","0.86","0.88","0.83","0.8","0.77","0.72","0.72","0.71","0.69","0.68","0.66","0.67","0.65","0.63","0.6","0.61","0.56","0.55","0.55","0.5","0.48","0.48","0.46","0.44","0.41","0.38","0.41","0.4","0.36","0.34","0.31","0.28","0.25","0.25","0.24","0.24","0.23","0.22","0.2","0.19","0.19","0.17","0.17","0.15","0.14","0.13","0.09","0.08","0.09","0.11","0.09","0.08","0.07","0.06","0.03","0.03","0.04","0.05","0.05","0.04","0.04","0.05","0.06","0.06","0.08","0.07","0.05","0.06","0.06","0.07","0.07","0.07","0.07","0.06","0.06","0.06","0.06","0.06","0.04","0.04","0.04","0.04","0.04","0.04","0.04","0.05","0.04","0.04","0.03","0.04","0.04","0.04","0.05","0.05","0.05","0.05","0.04","0.03","0.03","0.03","0.04","0.04","0.04","0.04","0.05","0.03","0.04","0.04","0.04","0.04","0.05","0.05","0.05","0.04","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.04","0.04","0.04","0.05","0.05","0.05"
"max","0.37","0.36","0.36","0.36","0.36","0.37","0.37","0.37","0.51","1.78","2.07","5.57","7.47","3.12","1.75","1.28","1.3","0.81","0.72","0.66","0.61","0.56","0.52","0.58","0.5","2.25","1.26","2.09","7.59","8.33","3.29","1.93","1.76","1.69","1.51","1.73","1.15","0.96","2.62","6.63","2.69","3.81","4.16","2.25","3.13","4.91","4.98","2.79","1.97","3.38","3.62","2.37","1.38","5.6","5.19","4.81","3.7","4.09","2.67","2.84","2.94","2.48","6.05","10.73","6.03","3.95","4.36","5","4.03","3.62","3.21","3.23","2.99","2.44","2.72","2.57","3.1","5.91","4.56","5.17","5.15","9.29","27.06","36.73","21.85","11.53","9.3","6.85","7.83","10.64","6.36","4.91","4.47","3.93","3.95","4.06","4.39","7.22","15.67","12.92","5.68","4.2","3.36","10.63","7.34","4.68","8.78","20.71","13.14","13.68","13.02","10.5","7.92","15.92","17.43","19.98","9.58","7.7","16.03","7.73","8.87","6.17","4.46","7.56","7.09","9.2","8.34","9.04","5.03","4.66","15.82","14.56","7.01","12.67","7.68","6.18","7.48","5.52","7.69","6.1","5.96","7.2","7.71","10.68","13.8","24.64","15.41","9.22","9.42","8.52","7.36","8.24","4.73","11.34","17.47","9.22","6.36","4.93","5.09","6.01","6.17","3.92","6.48","4.64","3.82","3.31","2.86","3.58","5.57","7.87","3.94","3.26","3.79","3.63","3.51","6.71","5.5","3.75","3.08","2.85","6.39","4.06","4.43","4.81","4.14","3.76","3.85","4.08","4.22","4.25","4.14","4.2","3.76","4.12","3.69","3.65","4.17","3.74","4.55","4.82","4.27","3.54","3.51","3.64","3.77","3.52","3.06","3.2","3.25","3.92","2.74","2.75","3.27","4.07","4.23","4.28","4.01","4.01","4.9","5.38","5.03","4.56","4.83","4.94","5.78","5.7","5.05","4.49","4.35","4.59","4.27","5.17","6.17","5.65","5.57","4.94","4.45","5.41","4.18","5.06","3.83","3.58","4.09","4.36","4.62","4","3.61","3.71","3.78","4.31","3.9","3.77","3.75","3.9","4.06","3.36","3.12","2.81","2.5","2.38","2.29","2.4","2.51","2.4","2.07","1.82","1.67","1.55","1.5","1.47","1.4","1.32","1.31","1.27","1.28","1.38","1.45","1.49","1.44","1.33","1.26","1.09","1.04","1","0.96","0.89","0.82","0.76","0.7","0.66","0.63","0.61","0.57","0.51","0.47","0.42","0.44","0.37","0.37","0.37","0.55","0.47","0.45","0.48","0.5","0.48","0.52","0.52","0.45","0.41","0.39","0.37","0.36","0.35","0.34","0.34","0.33","0.32","0.32","0.31","0.31","0.29","0.28","0.28","0.28","0.27","0.26","0.26","0.26","0.25","0.25","0.25","0.24","0.24","0.23","0.24","0.24","0.24","0.23","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.22","0.21","0.21","0.21","0.21","0.21","0.2","0.21","0.21","0.2","0.2","0.2","0.2","0.2","0.25","0.25","0.21","0.2","0.2","0.2"
"ten","0.05","0.05","0.05","0.05","0.05","0.04","0.05","0.05","0.05","0.05","0.06","0.07","0.07","0.06","0.06","0.05","0.05","0.05","0.05","0.05","0.05","0.06","0.07","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.09","0.09","0.09","0.1","0.1","0.1","0.1","0.1","0.12","0.12","0.13","0.13","0.14","0.14","0.14","0.14","0.15","0.14","0.15","0.14","0.14","0.14","0.17","0.17","0.18","0.19","0.19","0.19","0.2","0.2","0.2","0.23","0.23","0.25","0.24","0.23","0.22","0.21","0.21","0.23","0.25","0.24","0.25","0.28","0.28","0.26","0.25","0.24","0.25","0.24","0.24","0.23","0.23","0.23","0.24","0.25","0.3","0.3","0.29","0.3","0.33","0.32","0.3","0.3","0.3","0.31","0.33","0.33","0.35","0.37","0.37","0.4","0.41","0.41","0.41","0.42","0.41","0.41","0.42","0.42","0.41","0.41","0.44","0.47","0.45","0.44","0.44","0.43","0.41","0.5","0.51","0.66","0.63","0.58","0.54","0.55","0.57","0.62","0.72","0.69","0.71","0.69","0.67","0.66","0.66","0.69","0.7","0.72","0.73","0.76","0.8","0.87","0.84","0.84","0.84","0.81","0.8","0.81","0.82","0.8","0.77","0.78","0.74","0.77","0.75","0.74","0.76","0.77","0.76","0.79","0.78","0.75","0.75","0.74","0.74","0.73","0.77","0.8","0.81","0.79","0.75","0.75","0.76","0.76","0.79","0.84","0.86","0.88","0.86","0.82","0.78","0.79","0.81","0.84","0.87","0.9","0.9","0.91","0.92","0.88","0.89","0.89","0.89","0.92","1.02","0.99","1.05","1.04","1","0.95","0.91","0.91","0.87","0.88","0.87","0.86","0.86","0.87","0.89","0.93","0.9","0.9","0.92","1.01","0.99","1.03","1.05","1.07","1.08","1.04","1.03","1.01","0.97","0.95","0.97","1.08","1.06","1.08","1.21","1.17","1.14","1.17","1.19","1.13","1.14","1.18","1.19","1.09","1.03","1.01","1.01","0.97","0.99","0.95","0.88","0.83","0.86","0.8","0.82","0.82","0.68","0.68","0.64","0.65","0.63","0.58","0.56","0.54","0.5","0.48","0.46","0.45","0.43","0.43","0.4","0.38","0.34","0.32","0.3","0.3","0.28","0.27","0.26","0.24","0.24","0.23","0.22","0.21","0.2","0.2","0.18","0.18","0.16","0.16","0.16","0.15","0.15","0.15","0.14","0.14","0.1","0.12","0.13","0.12","0.12","0.13","0.11","0.11","0.11","0.11","0.1","0.09","0.09","0.08","0.09","0.08","0.09","0.09","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.07","0.07","0.07","0.07","0.06","0.06","0.06","0.06","0.06","0.05","0.06","0.06","0.06","0.07","0.07","0.07","0.07","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.05","0.05","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.06","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07"
"twentyFive","0.07","0.07","0.07","0.08","0.08","0.08","0.08","0.08","0.08","0.09","0.09","0.09","0.08","0.08","0.08","0.08","0.08","0.08","0.09","0.09","0.09","0.09","0.09","0.09","0.1","0.09","0.1","0.1","0.1","0.11","0.11","0.11","0.11","0.11","0.11","0.12","0.12","0.12","0.13","0.15","0.15","0.16","0.16","0.15","0.15","0.2","0.21","0.21","0.21","0.22","0.22","0.21","0.22","0.23","0.22","0.23","0.24","0.26","0.27","0.27","0.29","0.3","0.29","0.28","0.32","0.32","0.31","0.31","0.29","0.34","0.4","0.41","0.41","0.4","0.39","0.37","0.36","0.37","0.38","0.39","0.39","0.38","0.41","0.46","0.45","0.45","0.45","0.42","0.47","0.47","0.53","0.51","0.51","0.5","0.5","0.49","0.49","0.52","0.53","0.53","0.54","0.54","0.52","0.49","0.51","0.52","0.5","0.5","0.5","0.5","0.52","0.74","0.71","0.62","0.63","0.7","0.7","0.74","0.71","0.68","0.69","0.7","0.81","0.82","0.87","0.84","0.85","0.9","0.88","0.91","0.89","0.89","0.89","0.96","0.93","0.85","0.84","0.82","0.82","0.92","0.91","0.96","0.97","0.91","0.95","0.95","0.91","0.9","0.91","0.95","0.96","0.93","0.91","0.88","0.86","0.88","0.87","0.89","0.86","0.85","0.85","0.88","0.89","0.87","0.87","0.86","0.89","0.88","0.87","0.9","0.93","0.96","1.02","0.96","0.99","0.97","1","1.03","1.03","1.02","1.03","0.99","0.99","1.02","1.01","1","0.98","1.01","1.02","1.09","1.1","1.13","1.17","1.21","1.23","1.23","1.22","1.28","1.26","1.21","1.21","1.19","1.17","1.23","1.25","1.2","1.1","1.05","1.02","1","1.03","1.07","1.15","1.23","1.22","1.19","1.21","1.28","1.25","1.26","1.25","1.19","1.22","1.18","1.23","1.22","1.26","1.29","1.45","1.49","1.49","1.42","1.42","1.39","1.38","1.38","1.4","1.41","1.45","1.36","1.36","1.34","1.29","1.22","1.3","1.25","1.18","1.13","1.17","1.15","1.07","1.04","0.96","0.88","0.87","0.87","0.85","0.84","0.8","0.76","0.73","0.7","0.69","0.65","0.62","0.57","0.54","0.52","0.5","0.47","0.42","0.38","0.38","0.37","0.35","0.34","0.32","0.31","0.28","0.27","0.26","0.24","0.24","0.24","0.22","0.21","0.2","0.19","0.18","0.17","0.17","0.16","0.16","0.15","0.15","0.15","0.16","0.15","0.14","0.14","0.14","0.13","0.13","0.13","0.12","0.11","0.1","0.1","0.11","0.1","0.1","0.1","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.07","0.07","0.08","0.07","0.08","0.08","0.07","0.07","0.07","0.08","0.08","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.07","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.08","0.09","0.09","0.09","0.09","0.09","0.09"
"fifty","0.1","0.1","0.1","0.1","0.11","0.11","0.11","0.11","0.11","0.11","0.11","0.13","0.13","0.13","0.12","0.13","0.14","0.14","0.15","0.14","0.14","0.15","0.16","0.16","0.16","0.16","0.16","0.16","0.16","0.16","0.16","0.17","0.17","0.19","0.19","0.19","0.21","0.21","0.21","0.21","0.26","0.25","0.29","0.28","0.28","0.33","0.33","0.32","0.38","0.37","0.39","0.37","0.36","0.37","0.38","0.42","0.42","0.4","0.47","0.52","0.46","0.71","0.68","0.63","0.5","0.58","0.64","0.62","0.58","0.54","0.65","0.7","0.67","0.63","0.56","0.52","0.53","0.59","0.69","0.69","0.68","0.78","0.8","0.8","0.82","0.77","0.74","0.73","0.72","0.75","0.73","0.72","0.7","0.71","0.68","0.68","0.64","0.65","0.63","0.66","0.64","0.67","0.67","0.76","0.77","0.78","0.82","0.94","1","1.07","1.08","1.03","1.03","1.05","1.24","1.46","1.45","1.32","1.38","1.28","1.28","1.22","1.28","1.22","1.24","1.32","1.27","1.3","1.47","1.48","1.39","1.38","1.47","1.48","1.5","1.47","1.41","1.4","1.39","1.38","1.28","1.29","1.22","1.25","1.2","1.19","1.18","1.12","1.12","1.12","1.13","1.11","1.16","1.09","1.06","1.08","1.15","1.2","1.13","1.18","1.13","1.19","1.21","1.21","1.18","1.09","1.2","1.23","1.24","1.19","1.19","1.21","1.2","1.23","1.2","1.21","1.42","1.42","1.39","1.41","1.32","1.25","1.39","1.52","1.43","1.43","1.42","1.61","1.6","1.53","1.58","1.48","1.46","1.48","1.58","1.65","1.57","1.52","1.7","1.63","1.62","1.53","1.45","1.46","1.46","1.48","1.62","1.71","1.53","1.51","1.39","1.46","1.53","1.48","1.55","1.52","1.55","1.61","1.67","1.91","2.03","1.95","1.88","1.78","1.83","1.83","1.86","1.93","1.83","2.01","2.28","2.14","2.13","2","1.9","1.79","1.79","1.8","1.73","1.63","1.64","1.76","1.8","1.76","1.76","1.68","1.59","1.54","1.48","1.42","1.46","1.46","1.41","1.31","1.29","1.15","1.09","1.11","1.11","1.06","1.01","1.02","1.02","0.93","0.86","0.82","0.74","0.7","0.67","0.62","0.59","0.51","0.53","0.52","0.47","0.45","0.41","0.41","0.38","0.36","0.33","0.33","0.31","0.29","0.27","0.27","0.26","0.25","0.24","0.23","0.23","0.24","0.22","0.2","0.2","0.2","0.2","0.2","0.2","0.19","0.17","0.17","0.16","0.16","0.15","0.15","0.14","0.14","0.14","0.13","0.14","0.13","0.13","0.13","0.13","0.12","0.13","0.13","0.12","0.12","0.12","0.12","0.11","0.11","0.11","0.11","0.11","0.1","0.1","0.1","0.1","0.1","0.11","0.11","0.11","0.1","0.1","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.09","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.11","0.11","0.11","0.11","0.11"
"seventyFive","0.16","0.17","0.16","0.16","0.16","0.17","0.17","0.17","0.18","0.2","0.2","0.21","0.23","0.22","0.21","0.24","0.24","0.24","0.23","0.22","0.22","0.23","0.25","0.27","0.27","0.27","0.28","0.28","0.27","0.28","0.27","0.27","0.29","0.32","0.3","0.33","0.4","0.36","0.33","0.37","0.43","0.44","0.49","0.51","0.61","0.58","0.6","0.57","0.55","0.73","0.85","0.74","0.64","0.77","0.82","0.79","0.98","0.93","0.95","0.85","0.82","1.2","1.13","1.1","1.17","1.16","1.05","1.11","1.1","1.01","1.04","1.1","1.06","1.1","1.07","1.09","0.94","0.91","1","1.04","1.4","1.43","1.22","1.23","1.23","1.13","1.05","1.18","1.41","1.31","1.34","1.27","1.04","0.97","0.92","0.9","1","0.97","0.89","1.11","1.29","1.19","1.09","1.11","1.34","1.92","1.67","1.66","1.61","1.88","1.66","1.94","2.68","2.76","2.41","2.11","2.13","1.94","2","1.9","1.74","1.68","1.96","2.11","1.98","1.98","1.97","1.88","1.79","1.79","2.03","1.81","1.68","1.75","2.39","2.18","1.79","1.69","1.85","2.01","1.84","1.72","1.65","1.52","1.52","1.47","1.53","1.53","1.6","1.61","1.68","1.74","1.61","1.65","1.61","1.42","1.39","1.44","1.67","1.66","1.72","1.82","1.67","1.63","1.64","1.64","1.81","1.79","1.82","1.8","1.84","1.75","1.75","1.82","1.7","1.64","1.84","1.88","1.89","2.08","2.23","1.98","2.03","2.04","2.17","2.05","2.2","2.32","2.17","2.03","1.94","1.89","1.76","1.85","1.89","2.03","2.1","1.94","2","1.96","2.1","2.42","2.18","2.12","2","2.14","2.23","2.18","2.3","2.27","2.11","2.08","2.04","2.03","2.11","2.11","2.09","2.3","2.52","2.57","2.63","2.58","2.61","2.6","2.61","2.88","2.44","2.32","2.32","2.78","2.71","2.63","2.48","2.4","2.32","2.34","2.55","2.35","2.61","2.29","2.44","2.42","2.41","2.32","2.29","2.2","2.09","2.08","2.03","2.13","2.12","1.99","1.85","1.74","1.68","1.58","1.5","1.39","1.41","1.32","1.27","1.28","1.19","1.1","1.08","1","0.93","0.89","0.84","0.78","0.72","0.67","0.63","0.59","0.61","0.58","0.54","0.49","0.46","0.43","0.4","0.38","0.36","0.34","0.33","0.32","0.31","0.3","0.29","0.3","0.29","0.29","0.26","0.26","0.25","0.24","0.23","0.23","0.23","0.22","0.2","0.2","0.18","0.18","0.18","0.18","0.18","0.17","0.17","0.17","0.17","0.17","0.17","0.17","0.17","0.17","0.16","0.16","0.16","0.16","0.16","0.15","0.15","0.15","0.15","0.15","0.15","0.14","0.13","0.12","0.12","0.13","0.13","0.13","0.13","0.13","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.12","0.11","0.11","0.11","0.12","0.12","0.12","0.12","0.12","0.13","0.13","0.13","0.12","0.12","0.12","0.13","0.13","0.13","0.13"
"ninty","0.2","0.2","0.23","0.23","0.23","0.24","0.23","0.24","0.24","0.25","0.25","0.27","0.27","0.25","0.25","0.29","0.27","0.26","0.27","0.27","0.28","0.29","0.35","0.37","0.42","0.46","0.43","0.43","0.42","0.61","0.81","0.61","0.52","0.51","0.69","0.66","0.53","0.76","0.79","1.11","0.91","0.82","1.14","1.19","1.01","1.34","1.26","1.2","1.33","1.35","1.37","1.18","1.12","1.12","2.23","1.75","1.62","1.64","1.61","1.43","1.38","1.49","1.75","1.38","1.65","2.36","2.03","1.98","1.55","1.41","1.4","1.59","1.41","1.8","1.44","1.38","1.47","1.72","1.81","2.05","2.95","3.64","5.04","3.34","2.27","1.99","1.7","2.64","2.84","2.64","2.31","1.6","1.63","1.46","1.27","2.03","2.06","2.38","2.09","2.37","2.56","2.08","2.03","2.52","2.57","3.17","2.87","3.39","4.9","4.21","3.6","4.2","5.16","4.15","4.15","3.45","2.62","2.44","2.34","3.53","3.94","3.28","2.68","2.87","2.57","2.43","3.01","2.68","2.46","3.12","3.47","3.06","3.57","2.76","3.79","4.1","3.55","3.21","2.85","2.48","2.27","2.1","2.04","2.05","2.02","2.13","2.04","2.25","2.28","2.7","3.55","3.02","2.63","2.26","2.2","2.18","2.14","2.02","2.93","3.06","3.14","2.97","2.71","2.4","2.32","2.28","2.12","2.47","2.78","2.94","2.72","2.3","2.21","2.62","2.56","2.64","2.48","2.57","2.46","2.46","2.85","2.98","2.71","2.51","2.5","2.57","2.68","3.03","2.93","2.8","2.76","2.65","2.66","2.67","2.48","2.4","2.55","2.76","2.99","3.07","2.86","2.77","2.69","2.54","2.56","2.62","2.66","2.48","2.68","2.64","2.64","2.31","2.25","2.45","2.63","2.91","2.85","2.73","2.74","2.98","3.16","3.48","3.73","3.58","3.56","3.58","3.87","3.5","3.7","3.57","3.47","2.96","2.89","2.82","3.1","3.17","3.16","3.2","3.19","2.91","3.02","2.99","2.87","2.62","2.64","2.75","3.01","3.24","3.27","3.04","2.7","2.39","2.33","2.09","1.91","1.82","1.81","1.87","1.88","1.83","1.66","1.47","1.4","1.32","1.23","1.2","1.17","1.13","1.15","1.03","0.95","0.97","0.95","0.89","0.86","0.84","0.84","0.8","0.78","0.66","0.61","0.57","0.55","0.53","0.52","0.49","0.46","0.45","0.43","0.42","0.41","0.37","0.35","0.33","0.3","0.28","0.28","0.28","0.28","0.26","0.24","0.23","0.22","0.21","0.21","0.21","0.21","0.2","0.2","0.2","0.2","0.19","0.19","0.19","0.2","0.19","0.19","0.18","0.17","0.17","0.17","0.17","0.17","0.17","0.17","0.16","0.17","0.16","0.15","0.15","0.15","0.15","0.15","0.15","0.16","0.15","0.15","0.15","0.14","0.14","0.14","0.14","0.14","0.14","0.14","0.14","0.14","0.14","0.13","0.14","0.13","0.14","0.15","0.16","0.16","0.16","0.16","0.15","0.15","0.15","0.15","0.16","0.16","0.18","0.17","0.17"
