"Date","Measured Date","Depth"," ","W.C."," ","Density"
"4/1951","28-Mar-1951","69.7","","31.6","","45%"
"4/1952","31-Mar-1952","165.3","","80.6","","49%"
"4/1953","27-Mar-1953","113.2","","46.7","","41%"
"4/1954","27-Mar-1954","75.4","","35.6","","47%"
"4/1955","01-Apr-1955","57.1","","22.2","","39%"
"4/1956","23-Mar-1956","137.5","","61.1","","44%"
"4/1957","03-Apr-1957","65.8","","27.6","","42%"
"4/1958","31-Mar-1958","129.4","","50.9","","39%"
"4/1959","03-Apr-1959","57.6","","24.5","","43%"
"4/1960","05-Apr-1960","57.1","","25.8","","45%"
"4/1961","29-Mar-1961","100.7","","38.0","","38%"
"4/1962","03-Apr-1962","73.7","","31.4","","43%"
"4/1963","03-Apr-1963","41.0","","9.9","","24%"
"4/1964","27-Mar-1964","82.2","","36.0","","44%"
"4/1965","26-Mar-1965","47.5","","22.1","","47%"
"4/1966","31-Mar-1966","94.9","","41.0","","43%"
"4/1967","30-Mar-1967","96.5","","35.1","","36%"
"4/1968","29-Mar-1968","49.9","","22.6","","45%"
"4/1969","27-Mar-1969","140.5","","64.0","","46%"
"4/1970","26-Mar-1970","52.6","","24.2","","46%"
"4/1971","01-Apr-1971","116.6","","50.9","","44%"
"4/1972","30-Mar-1972","61.2","","26.5","","43%"
"4/1973","02-Apr-1973","75.2","","27.6","","37%"
"4/1974","22-Mar-1974","123.3","","41.1","","33%"
"4/1975","27-Mar-1975","184.5","","66.6","","36%"
"4/1976","26-Mar-1976","77.4","","28.5","","37%"
"4/1977","31-Mar-1977","35.5","","12.4","","35%"
"4/1978","27-Mar-1978","35.2","","15.8","","45%"
"4/1979","28-Mar-1979","39.6","","16.7","","42%"
"4/1980","28-Mar-1980","55.7","","20.0","","36%"
"4/1981","27-Mar-1981","18.6","","4.5","","24%"
"4/1982","31-Mar-1982","85.2","","20.9","","25%"
"4/1983","31-Mar-1983","153.4","","46.1","","30%"
"4/1984","02-Apr-1984","61.8","","27.0","","44%"
"4/1985","29-Mar-1985","110.9","","36.9","","33%"
"4/1986","01-Apr-1986","39.9","","17.5","","44%"
"4/1987","30-Mar-1987","63.6","","26.6","","42%"
"4/1988","29-Mar-1988","12.4","","5.6","","45%"
"4/1989","28-Mar-1989","78.8","","33.9","","43%"
"4/1990","02-Apr-1990","20.8","","9.6","","46%"
"4/1991","28-Mar-1991","37.9","","9.8","","26%"
"4/1992","30-Mar-1992","44.4","","13.7","","31%"
"4/1993","31-Mar-1993","60.8","","31.1","","51%"
"4/1994","31-Mar-1994","24.8","","11.4","","46%"
"4/1995","03-Apr-1995","59.8","","26.1","","44%"
"4/1996","28-Mar-1996","58.1","","25.0","","43%"
"4/1997","31-Mar-1997","22.1","","7.1","","32%"
"4/1998","27-Mar-1998","92.8","","41.3","","45%"
"4/2000","01-Apr-2000","60.0","","29.6","","49%"
"4/2001","02-Apr-2001","6.0","","2.1","","35%"
"4/2002","29-Mar-2002","59.8","","35.9","","60%"
"4/2003","31-Mar-2003","38.0","","17.4","","46%"
"4/2004","29-Mar-2004","74.0","","31.8","","43%"
"4/2005","28-Mar-2005","33.5","","7.8","","23%"
"4/2006","28-Mar-2006","99.9","","34.9","","35%"
"4/2007","28-Mar-2007","43.1","","15.1","","35%"
"4/2008","28-Mar-2008","96.6","","24.6","","25%"
"4/2009","31-Mar-2009","59.3","","24.7","","42%"
"4/2010","30-Mar-2010","66.0","","15.5","","23%"
"4/2011","30-Mar-2011","110.5","","39.1","","35%"
"4/2012","02-Apr-2012","80.4","","27.5","","34%"
"4/2013","02-Apr-2013","12.2","","4.9","","40%"
"4/2014","27-Mar-2014","12.5","","2.5","","20%"
"4/2015","02-Apr-2015","0.0","","0.0","","0%"
"4/2016","31-Mar-2016","59.5","","26.5","","45%"
"4/2017","28-Mar-2017","84.0","","30.0","","36%"
"4/2018","28-Mar-2018","38.5","","13.5","","35%"
"4/2019","29-Mar-2019","80.0","","29.0","","36%"
"4/2020","02-Apr-2020","41.0","","16.5","","40%"
"4/2021","29-Mar-2021","42.0","","17.0","","40%"
"4/2022","31-Mar-2022","19.0","","9.0","","47%"
"4/2023","29-Mar-2023","106.0","","35.0","","33%"
"5/2023","27-Apr-2023","68.0","","30.0","","44%"
