"Date","Measured Date","Depth"," ","W.C."," ","Density"
"4/1983","04-Apr-1983","121.9","","51.2","","42%"
"5/1983","03-May-1983","109.8","","53.4","","49%"
"6/1983","27-May-1983","63.2","","32.8","","52%"
"2/1984","27-Jan-1984","29.2","","11.4","","39%"
"3/1984","29-Feb-1984","37.9","","13.2","","35%"
"4/1984","29-Mar-1984","33.4","","12.7","","38%"
"5/1984","04-May-1984","8.8","","3.8","","43%"
"2/1985","30-Jan-1985","36.8","","13.4","","36%"
"3/1985","26-Feb-1985","44.1","","15.3","","35%"
"4/1985","29-Mar-1985","62.1","","19.4","","31%"
"5/1985","30-Apr-1985","3.2","","1.8","","56%"
"2/1986","30-Jan-1986","39.3","","11.7","","30%"
"3/1986","26-Feb-1986","49.2","","18.8","","38%"
"4/1986","31-Mar-1986","35.6","","14.8","","42%"
"5/1986","28-Apr-1986","3.9","","1.8","","46%"
"2/1987","03-Feb-1987","46.2","","13.2","","29%"
"3/1987","27-Feb-1987","44.1","","15.6","","35%"
"4/1987","27-Mar-1987","49.2","","19.4","","39%"
"5/1987","30-Apr-1987","0.0","","0.0","","0%"
"2/1988","26-Jan-1988","37.8","","12.2","","32%"
"3/1988","26-Feb-1988","25.9","","10.0","","39%"
"4/1988","30-Mar-1988","7.4","","3.5","","47%"
"5/1988","29-Apr-1988","0.0","","0.0","","0%"
"2/1989","31-Jan-1989","36.1","","11.0","","30%"
"3/1989","01-Mar-1989","33.6","","12.2","","36%"
"4/1989","29-Mar-1989","31.8","","12.0","","38%"
"5/1989","28-Apr-1989","0.0","","0.0","","0%"
"2/1990","29-Jan-1990","14.8","","4.0","","27%"
"3/1990","28-Feb-1990","27.6","","9.8","","36%"
"4/1990","02-Apr-1990","10.1","","3.4","","34%"
"5/1990","01-May-1990","0.0","","0.0","","0%"
"2/1991","31-Jan-1991","10.9","","3.2","","29%"
"3/1991","28-Feb-1991","12.1","","4.4","","36%"
"4/1991","27-Mar-1991","50.9","","15.6","","31%"
"5/1991","02-May-1991","13.0","","4.2","","32%"
"2/1992","31-Jan-1992","28.4","","8.7","","31%"
"3/1992","27-Feb-1992","51.9","","18.6","","36%"
"4/1992","31-Mar-1992","42.9","","20.0","","47%"
