"Date","Measured Date","Depth"," ","W.C."," ","Density"
"2/1982","27-Jan-1982","72.8","","20.2","","28%"
"3/1982","24-Feb-1982","43.8","","17.9","","41%"
"4/1982","31-Mar-1982","97.2","","27.8","","29%"
"5/1982","29-Apr-1982","72.4","","31.8","","44%"
"2/1983","26-Jan-1983","80.4","","30.6","","38%"
"3/1983","24-Feb-1983","115.8","","46.2","","40%"
"4/1983","31-Mar-1983","155.5","","63.6","","41%"
"5/1983","26-Apr-1983","143.4","","63.8","","44%"
"6/1983","27-May-1983","81.0","","43.2","","53%"
"2/1984","30-Jan-1984","61.4","","24.4","","40%"
"3/1984","28-Feb-1984","100.7","","34.2","","34%"
"4/1984","02-Apr-1984","91.0","","37.4","","41%"
"5/1984","04-May-1984","73.1","","32.4","","44%"
"2/1985","29-Jan-1985","62.8","","23.5","","37%"
"3/1985","26-Feb-1985","82.8","","32.8","","40%"
"4/1985","29-Mar-1985","126.0","","41.0","","33%"
"5/1985","30-Apr-1985","53.0","","23.9","","45%"
"2/1986","27-Jan-1986","41.8","","14.0","","33%"
"3/1986","24-Feb-1986","83.1","","31.8","","38%"
"4/1986","01-Apr-1986","65.5","","27.2","","42%"
"5/1986","28-Apr-1986","36.2","","17.0","","47%"
"2/1987","27-Jan-1987","59.4","","17.2","","29%"
"3/1987","26-Feb-1987","69.7","","24.4","","35%"
"4/1987","30-Mar-1987","74.6","","27.8","","37%"
"5/1987","28-Apr-1987","22.4","","11.0","","49%"
"2/1988","26-Jan-1988","57.8","","18.1","","31%"
"3/1988","26-Feb-1988","44.0","","17.5","","40%"
"4/1988","29-Mar-1988","26.1","","11.6","","44%"
"5/1988","29-Apr-1988","6.2","","2.8","","45%"
"2/1989","01-Feb-1989","81.2","","28.3","","35%"
"3/1989","01-Mar-1989","77.7","","30.2","","39%"
"4/1989","29-Mar-1989","86.6","","35.4","","41%"
"5/1989","28-Apr-1989","47.4","","20.6","","43%"
