"Date","Measured Date","Depth"," ","W.C."," ","Density"
"3/1976","25-Feb-1976","39.1","","11.6","","30%"
"4/1976","26-Mar-1976","43.7","","17.1","","39%"
"5/1976","29-Apr-1976","47.7","","20.2","","42%"
"2/1977","27-Jan-1977","13.9","","4.1","","29%"
"3/1977","25-Feb-1977","27.6","","7.1","","26%"
"4/1977","30-Mar-1977","33.2","","11.9","","36%"
"5/1977","28-Apr-1977","1.6","","0.6","","38%"
"1/1978","30-Dec-1977","19.3","","7.1","","37%"
"2/1978","27-Jan-1978","71.8","","28.4","","40%"
"3/1978","28-Feb-1978","81.1","","36.3","","45%"
"4/1978","29-Mar-1978","77.2","","37.2","","48%"
"5/1978","28-Apr-1978","76.8","","38.4","","50%"
"6/1978","01-Jun-1978","12.2","","7.1","","58%"
"2/1979","01-Feb-1979","28.6","","8.6","","30%"
"3/1979","27-Feb-1979","53.9","","17.7","","33%"
"4/1979","30-Mar-1979","55.2","","21.2","","38%"
"5/1979","01-May-1979","33.7","","15.8","","47%"
"2/1980","25-Jan-1980","37.2","","14.4","","39%"
"3/1980","22-Feb-1980","62.0","","21.9","","35%"
"4/1980","26-Mar-1980","58.0","","24.4","","42%"
"5/1980","29-Apr-1980","31.7","","15.3","","48%"
"2/1981","30-Jan-1981","47.5","","13.0","","27%"
"3/1981","02-Mar-1981","44.0","","17.2","","39%"
"4/1981","24-Mar-1981","46.2","","19.7","","43%"
"5/1981","28-Apr-1981","15.9","","7.9","","50%"
"2/1982","01-Feb-1982","48.4","","18.0","","37%"
"3/1982","24-Feb-1982","38.0","","17.0","","45%"
"4/1982","09-Apr-1982","86.7","","30.9","","36%"
"5/1982","30-Apr-1982","55.3","","24.5","","44%"
"2/1983","01-Feb-1983","93.8","","33.8","","36%"
"3/1983","04-Mar-1983","150.3","","59.7","","40%"
"4/1983","04-Apr-1983","149.9","","70.8","","47%"
"5/1983","02-May-1983","150.6","","73.2","","49%"
"6/1983","27-May-1983","99.5","","54.7","","55%"
"2/1984","27-Jan-1984","53.5","","24.2","","45%"
"3/1984","29-Feb-1984","65.2","","26.8","","41%"
"4/1984","29-Mar-1984","59.9","","26.0","","43%"
"5/1984","04-May-1984","38.8","","18.9","","49%"
"2/1985","30-Jan-1985","45.3","","17.2","","38%"
"3/1985","26-Feb-1985","51.9","","21.5","","41%"
"4/1985","29-Mar-1985","72.3","","25.5","","35%"
"5/1985","30-Apr-1985","12.9","","6.9","","53%"
"2/1986","30-Jan-1986","42.9","","14.4","","34%"
"3/1986","26-Feb-1986","68.8","","29.3","","43%"
"4/1986","31-Mar-1986","57.0","","26.9","","47%"
"5/1986","28-Apr-1986","29.0","","15.0","","52%"
"2/1987","03-Feb-1987","44.9","","13.9","","31%"
"3/1987","27-Feb-1987","51.5","","19.4","","38%"
"4/1987","27-Mar-1987","70.4","","28.8","","41%"
"5/1987","30-Apr-1987","11.4","","5.9","","52%"
"2/1988","26-Jan-1988","50.8","","17.3","","34%"
"3/1988","26-Feb-1988","40.6","","17.8","","44%"
"4/1988","30-Mar-1988","23.7","","10.9","","46%"
"5/1988","29-Apr-1988","0.1","","0.0","","50%"
"2/1989","31-Jan-1989","43.3","","14.3","","33%"
"3/1989","01-Mar-1989","43.4","","16.5","","38%"
"4/1989","29-Mar-1989","52.6","","22.4","","43%"
"5/1989","28-Apr-1989","11.5","","5.5","","48%"
"2/1990","29-Jan-1990","20.3","","5.7","","28%"
"3/1990","28-Feb-1990","32.1","","12.9","","40%"
"4/1990","02-Apr-1990","14.4","","6.0","","42%"
"5/1990","01-May-1990","0.0","","0.0","","0%"
"2/1991","31-Jan-1991","11.2","","3.5","","31%"
"3/1991","28-Feb-1991","15.4","","5.0","","32%"
"4/1991","27-Mar-1991","66.6","","21.3","","32%"
"5/1991","02-May-1991","28.1","","12.3","","44%"
"2/1992","31-Jan-1992","33.3","","10.5","","32%"
"3/1992","27-Feb-1992","64.0","","26.0","","41%"
"4/1992","31-Mar-1992","62.2","","29.4","","47%"
"5/1992","30-Apr-1992","11.2","","5.0","","45%"
"2/1993","28-Jan-1993","80.4","","27.1","","34%"
"3/1993","01-Mar-1993","93.9","","37.1","","40%"
"4/1993","30-Mar-1993","59.4","","29.6","","50%"
"5/1993","30-Apr-1993","45.5","","25.4","","56%"
"2/1994","31-Jan-1994","42.7","","14.2","","33%"
