,Date,Date,2007,,Date,2007,,Date,2008,,Date,2008,,Date,2009,,Date,2009,,Date,2010,,,2010,,,2011,,,2011,,,2012,,,2012,,,2013,,,2013,,,2014,,,2014,,,2015,,,2015,,,2016,,,2016,,,2017,,,2017,,,2018,,,2018,Date
,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,,,Chinook,,,Coho,
0,10/10,10/10/2007,,,10/10/2007,,,10/10/2008,7,,10/10/2008,0,,10/10/2009,0,,10/10/2009,0,,10/10/2010,16,,10/10/2010,0,,10/10/2011,368,,10/10/2011,0,,10/10/2012,24,,10/10/2012,0,,10/10/2013,47,,10/10/2013,0,,10/10/2014,1,,10/10/2014,0,,10/10/2015,0,,10/10/2015,0,,10/10/2016,23,,10/10/2016,0,,10/10/2017,41,,10/10/2017,0,,10/10/2018,,,10/10/2018,,10/10
0,10/11,10/11/2007,,,10/11/2007,,,10/11/2008,28,,10/11/2008,0,,10/11/2009,0,,10/11/2009,0,,10/11/2010,53,,10/11/2010,0,,10/11/2011,482,,10/11/2011,0,,10/11/2012,58,,10/11/2012,0,,10/11/2013,57,,10/11/2013,0,,10/11/2014,0,,10/11/2014,0,,10/11/2015,0,,10/11/2015,0,,10/11/2016,23,,10/11/2016,0,,10/11/2017,34,,10/11/2017,0,,10/11/2018,,,10/11/2018,,10/11
0,10/12,10/12/2007,,,10/12/2007,,,10/12/2008,40,,10/12/2008,0,,10/12/2009,0,,10/12/2009,0,,10/12/2010,44,,10/12/2010,0,,10/12/2011,328,,10/12/2011,0,,10/12/2012,133,,10/12/2012,0,,10/12/2013,45,,10/12/2013,0,,10/12/2014,0,,10/12/2014,0,,10/12/2015,7,,10/12/2015,0,,10/12/2016,25,,10/12/2016,0,,10/12/2017,40,,10/12/2017,0,,10/12/2018,,,10/12/2018,,10/12
0,10/13,10/13/2007,,,10/13/2007,,,10/13/2008,56,,10/13/2008,0,,10/13/2009,0,,10/13/2009,0,,10/13/2010,35,,10/13/2010,0,,10/13/2011,168,,10/13/2011,0,,10/13/2012,127,,10/13/2012,0,,10/13/2013,64,,10/13/2013,0,,10/13/2014,1,,10/13/2014,0,,10/13/2015,5,,10/13/2015,0,,10/13/2016,51,,10/13/2016,0,,10/13/2017,38,,10/13/2017,0,,10/13/2018,1,,10/13/2018,0,10/13
0,10/14,10/14/2007,,,10/14/2007,,,10/14/2008,28,,10/14/2008,0,,10/14/2009,2,,10/14/2009,0,,10/14/2010,18,,10/14/2010,0,,10/14/2011,121,,10/14/2011,0,,10/14/2012,328,,10/14/2012,0,,10/14/2013,57,,10/14/2013,0,,10/14/2014,1,,10/14/2014,0,,10/14/2015,2,,10/14/2015,0,,10/14/2016,129,,10/14/2016,0,,10/14/2017,39,,10/14/2017,0,,10/14/2018,3,,10/14/2018,0,10/14
0,10/15,10/15/2007,,,10/15/2007,,,10/15/2008,81,,10/15/2008,0,,10/15/2009,23,,10/15/2009,0,,10/15/2010,60,,10/15/2010,0,,10/15/2011,153,,10/15/2011,0,,10/15/2012,383,,10/15/2012,0,,10/15/2013,40,,10/15/2013,0,,10/15/2014,146,,10/15/2014,0,,10/15/2015,4,,10/15/2015,0,,10/15/2016,127,,10/15/2016,0,,10/15/2017,37,,10/15/2017,0,,10/15/2018,1,,10/15/2018,0,10/15
0,10/16,10/16/2007,,,10/16/2007,,,10/16/2008,156,,10/16/2008,0,,10/16/2009,24,,10/16/2009,0,,10/16/2010,29,,10/16/2010,0,,10/16/2011,125,,10/16/2011,0,,10/16/2012,408,,10/16/2012,0,,10/16/2013,42,,10/16/2013,0,,10/16/2014,190,,10/16/2014,0,,10/16/2015,11,,10/16/2015,0,,10/16/2016,173,,10/16/2016,0,,10/16/2017,43,,10/16/2017,0,,10/16/2018,1,,10/16/2018,0,10/16
0,10/17,10/17/2007,,,10/17/2007,,,10/17/2008,180,,10/17/2008,0,,10/17/2009,212,,10/17/2009,0,,10/17/2010,48,,10/17/2010,0,,10/17/2011,165,,10/17/2011,0,,10/17/2012,548,,10/17/2012,0,,10/17/2013,23,,10/17/2013,0,,10/17/2014,66,,10/17/2014,0,,10/17/2015,20,,10/17/2015,0,,10/17/2016,74,,10/17/2016,0,,10/17/2017,73,,10/17/2017,0,,10/17/2018,0,,10/17/2018,0,10/17
0,10/18,10/18/2007,,,10/18/2007,,,10/18/2008,163,,10/18/2008,0,,10/18/2009,165,,10/18/2009,0,,10/18/2010,45,,10/18/2010,0,,10/18/2011,127,,10/18/2011,0,,10/18/2012,454,,10/18/2012,0,,10/18/2013,62,,10/18/2013,0,,10/18/2014,39,,10/18/2014,0,,10/18/2015,13,,10/18/2015,0,,10/18/2016,103,,10/18/2016,0,,10/18/2017,79,,10/18/2017,0,,10/18/2018,1,,10/18/2018,0,10/18
0,10/19,10/19/2007,,,10/19/2007,,,10/19/2008,94,,10/19/2008,0,,10/19/2009,76,,10/19/2009,0,,10/19/2010,64,,10/19/2010,0,,10/19/2011,74,,10/19/2011,2,,10/19/2012,333,,10/19/2012,0,,10/19/2013,72,,10/19/2013,0,,10/19/2014,55,,10/19/2014,0,,10/19/2015,12,,10/19/2015,0,,10/19/2016,40,,10/19/2016,0,,10/19/2017,120,,10/19/2017,0,,10/19/2018,0,,10/19/2018,0,10/19
0,10/20,10/20/2007,,,10/20/2007,,,10/20/2008,69,,10/20/2008,0,,10/20/2009,30,,10/20/2009,0,,10/20/2010,43,,10/20/2010,0,,10/20/2011,74,,10/20/2011,0,,10/20/2012,471,,10/20/2012,0,,10/20/2013,119,,10/20/2013,0,,10/20/2014,127,,10/20/2014,0,,10/20/2015,18,,10/20/2015,0,,10/20/2016,34,,10/20/2016,0,,10/20/2017,158,,10/20/2017,0,,10/20/2018,0,,10/20/2018,0,10/20
0,10/21,10/21/2007,,,10/21/2007,,,10/21/2008,48,,10/21/2008,0,,10/21/2009,69,,10/21/2009,0,,10/21/2010,45,,10/21/2010,0,,10/21/2011,110,,10/21/2011,0,,10/21/2012,154,,10/21/2012,0,,10/21/2013,183,,10/21/2013,1,,10/21/2014,180,,10/21/2014,0,,10/21/2015,22,,10/21/2015,0,,10/21/2016,29,,10/21/2016,0,,10/21/2017,156,,10/21/2017,0,,10/21/2018,4,,10/21/2018,0,10/21
0,10/22,10/22/2007,,,10/22/2007,,,10/22/2008,42,,10/22/2008,0,,10/22/2009,19,,10/22/2009,0,,10/22/2010,70,,10/22/2010,0,,10/22/2011,42,,10/22/2011,0,,10/22/2012,270,,10/22/2012,0,,10/22/2013,167,,10/22/2013,0,,10/22/2014,137,,10/22/2014,0,,10/22/2015,25,,10/22/2015,0,,10/22/2016,17,,10/22/2016,1,,10/22/2017,214,,10/22/2017,0,,10/22/2018,3,,10/22/2018,0,10/22
0,10/23,10/23/2007,,,10/23/2007,,,10/23/2008,59,,10/23/2008,0,,10/23/2009,53,,10/23/2009,0,,10/23/2010,88,,10/23/2010,0,,10/23/2011,88,,10/23/2011,0,,10/23/2012,217,,10/23/2012,0,,10/23/2013,212,,10/23/2013,0,,10/23/2014,826,,10/23/2014,6,,10/23/2015,9,,10/23/2015,0,,10/23/2016,9,,10/23/2016,0,,10/23/2017,320,,10/23/2017,0,,10/23/2018,3,,10/23/2018,0,10/23
0,10/24,10/24/2007,,,10/24/2007,,,10/24/2008,60,,10/24/2008,0,,10/24/2009,30,,10/24/2009,0,,10/24/2010,103,,10/24/2010,0,,10/24/2011,79,,10/24/2011,1,,10/24/2012,192,,10/24/2012,0,,10/24/2013,116,,10/24/2013,0,,10/24/2014,1082,,10/24/2014,5,,10/24/2015,21,,10/24/2015,0,,10/24/2016,5,,10/24/2016,0,,10/24/2017,216,,10/24/2017,1,,10/24/2018,9,,10/24/2018,0,10/24
0,10/25,10/25/2007,,,10/25/2007,,,10/25/2008,84,,10/25/2008,0,,10/25/2009,15,,10/25/2009,0,,10/25/2010,76,,10/25/2010,6,,10/25/2011,70,,10/25/2011,0,,10/25/2012,180,,10/25/2012,0,,10/25/2013,159,,10/25/2013,0,,10/25/2014,1692,,10/25/2014,9,,10/25/2015,34,,10/25/2015,0,,10/25/2016,4,,10/25/2016,0,,10/25/2017,83,,10/25/2017,2,,10/25/2018,16,,10/25/2018,0,10/25
0,10/26,10/26/2007,,,10/26/2007,,,10/26/2008,151,,10/26/2008,0,,10/26/2009,20,,10/26/2009,0,,10/26/2010,334,,10/26/2010,77,,10/26/2011,61,,10/26/2011,0,,10/26/2012,155,,10/26/2012,0,,10/26/2013,96,,10/26/2013,0,,10/26/2014,1054,,10/26/2014,14,,10/26/2015,16,,10/26/2015,0,,10/26/2016,10,,10/26/2016,0,,10/26/2017,52,,10/26/2017,0,,10/26/2018,17,,10/26/2018,0,10/26
0,10/27,10/27/2007,,,10/27/2007,,,10/27/2008,68,,10/27/2008,0,,10/27/2009,10,,10/27/2009,0,,10/27/2010,247,,10/27/2010,29,,10/27/2011,32,,10/27/2011,0,,10/27/2012,364,,10/27/2012,4,,10/27/2013,70,,10/27/2013,0,,10/27/2014,886,,10/27/2014,37,,10/27/2015,10,,10/27/2015,0,,10/27/2016,16,,10/27/2016,0,,10/27/2017,51,,10/27/2017,2,,10/27/2018,41,,10/27/2018,0,10/27
0,10/28,10/28/2007,,,10/28/2007,,,10/28/2008,65,,10/28/2008,0,,10/28/2009,5,,10/28/2009,0,,10/28/2010,133,,10/28/2010,7,,10/28/2011,67,,10/28/2011,0,,10/28/2012,529,,10/28/2012,4,,10/28/2013,51,,10/28/2013,0,,10/28/2014,600,,10/28/2014,6,,10/28/2015,33,,10/28/2015,0,,10/28/2016,9,,10/28/2016,0,,10/28/2017,33,,10/28/2017,1,,10/28/2018,52,,10/28/2018,0,10/28
0,10/29,10/29/2007,17,,10/29/2007,0,,10/29/2008,183,,10/29/2008,0,,10/29/2009,8,,10/29/2009,0,,10/29/2010,193,,10/29/2010,63,,10/29/2011,50,,10/29/2011,0,,10/29/2012,516,,10/29/2012,4,,10/29/2013,79,,10/29/2013,0,,10/29/2014,604,,10/29/2014,7,,10/29/2015,0,,10/29/2015,0,,10/29/2016,34,,10/29/2016,0,,10/29/2017,33,,10/29/2017,0,,10/29/2018,45,,10/29/2018,0,10/29
0,10/30,10/30/2007,169,,10/30/2007,1,,10/30/2008,267,,10/30/2008,0,,10/30/2009,17,,10/30/2009,0,,10/30/2010,120,,10/30/2010,111,,10/30/2011,146,,10/30/2011,1,,10/30/2012,578,,10/30/2012,4,,10/30/2013,72,,10/30/2013,0,,10/30/2014,316,,10/30/2014,1,,10/30/2015,1,,10/30/2015,0,,10/30/2016,12,,10/30/2016,0,,10/30/2017,20,,10/30/2017,0,,10/30/2018,18,,10/30/2018,0,10/30
0,10/31,10/31/2007,170,,10/31/2007,1,,10/31/2008,241,,10/31/2008,0,,10/31/2009,16,,10/31/2009,0,,10/31/2010,77,,10/31/2010,20,,10/31/2011,114,,10/31/2011,0,,10/31/2012,472,,10/31/2012,3,,10/31/2013,60,,10/31/2013,1,,10/31/2014,285,,10/31/2014,16,,10/31/2015,3,,10/31/2015,0,,10/31/2016,0,,10/31/2016,0,,10/31/2017,18,,10/31/2017,0,,10/31/2018,27,,10/31/2018,0,10/31
0,11/1,11/1/2007,127,,11/1/2007,9,,11/1/2008,336,,11/1/2008,0,,11/1/2009,13,,11/1/2009,0,,11/1/2010,62,,11/1/2010,47,,11/1/2011,75,,11/1/2011,2,,11/1/2012,291,,11/1/2012,5,,11/1/2013,74,,11/1/2013,0,,11/1/2014,109,,11/1/2014,7,,11/1/2015,4,,11/1/2015,0,,11/1/2016,7,,11/1/2016,2,,11/1/2017,16,,11/1/2017,0,,11/1/2018,31,,11/1/2018,0,11/1
0,11/2,11/2/2007,19,,11/2/2007,0,,11/2/2008,223,,11/2/2008,1,,11/2/2009,15,,11/2/2009,0,,11/2/2010,28,,11/2/2010,27,,11/2/2011,87,,11/2/2011,1,,11/2/2012,216,,11/2/2012,13,,11/2/2013,70,,11/2/2013,0,,11/2/2014,75,,11/2/2014,1,,11/2/2015,8,,11/2/2015,0,,11/2/2016,9,,11/2/2016,4,,11/2/2017,7,,11/2/2017,0,,11/2/2018,19,,11/2/2018,0,11/2
0,11/3,11/3/2007,10,,11/3/2007,0,,11/3/2008,59,,11/3/2008,0,,11/3/2009,16,,11/3/2009,0,,11/3/2010,22,,11/3/2010,17,,11/3/2011,33,,11/3/2011,0,,11/3/2012,222,,11/3/2012,10,,11/3/2013,26,,11/3/2013,1,,11/3/2014,77,,11/3/2014,2,,11/3/2015,10,,11/3/2015,0,,11/3/2016,19,,11/3/2016,9,,11/3/2017,15,,11/3/2017,0,,11/3/2018,9,,11/3/2018,0,11/3
0,11/4,11/4/2007,7,,11/4/2007,0,,11/4/2008,64,,11/4/2008,10,,11/4/2009,13,,11/4/2009,0,,11/4/2010,18,,11/4/2010,14,,11/4/2011,1,,11/4/2011,1,,11/4/2012,100,,11/4/2012,2,,11/4/2013,24,,11/4/2013,0,,11/4/2014,115,,11/4/2014,2,,11/4/2015,26,,11/4/2015,0,,11/4/2016,16,,11/4/2016,7,,11/4/2017,14,,11/4/2017,0,,11/4/2018,15,,11/4/2018,0,11/4
0,11/5,11/5/2007,10,,11/5/2007,1,,11/5/2008,89,,11/5/2008,1,,11/5/2009,6,,11/5/2009,0,,11/5/2010,13,,11/5/2010,19,,11/5/2011,86,,11/5/2011,0,,11/5/2012,122,,11/5/2012,1,,11/5/2013,23,,11/5/2013,0,,11/5/2014,98,,11/5/2014,2,,11/5/2015,7,,11/5/2015,0,,11/5/2016,22,,11/5/2016,9,,11/5/2017,11,,11/5/2017,0,,11/5/2018,14,,11/5/2018,0,11/5
0,11/6,11/6/2007,26,,11/6/2007,0,,11/6/2008,82,,11/6/2008,3,,11/6/2009,63,,11/6/2009,0,,11/6/2010,9,,11/6/2010,21,,11/6/2011,49,,11/6/2011,0,,11/6/2012,110,,11/6/2012,2,,11/6/2013,41,,11/6/2013,0,,11/6/2014,177,,11/6/2014,3,,11/6/2015,0,,11/6/2015,0,,11/6/2016,18,,11/6/2016,8,,11/6/2017,10,,11/6/2017,0,,11/6/2018,5,,11/6/2018,0,11/6
0,11/7,11/7/2007,19,,11/7/2007,0,,11/7/2008,53,,11/7/2008,1,,11/7/2009,49,,11/7/2009,0,,11/7/2010,13,,11/7/2010,134,,11/7/2011,63,,11/7/2011,1,,11/7/2012,51,,11/7/2012,0,,11/7/2013,47,,11/7/2013,0,,11/7/2014,62,,11/7/2014,1,,11/7/2015,2,,11/7/2015,0,,11/7/2016,26,,11/7/2016,11,,11/7/2017,3,,11/7/2017,0,,11/7/2018,1,,11/7/2018,0,11/7
0,11/8,11/8/2007,11,,11/8/2007,0,,11/8/2008,28,,11/8/2008,0,,11/8/2009,29,,11/8/2009,0,,11/8/2010,17,,11/8/2010,61,,11/8/2011,27,,11/8/2011,2,,11/8/2012,27,,11/8/2012,0,,11/8/2013,45,,11/8/2013,1,,11/8/2014,80,,11/8/2014,1,,11/8/2015,7,,11/8/2015,0,,11/8/2016,18,,11/8/2016,8,,11/8/2017,8,,11/8/2017,2,,11/8/2018,0,,11/8/2018,0,11/8
0,11/9,11/9/2007,47,,11/9/2007,3,,11/9/2008,29,,11/9/2008,4,,11/9/2009,1,,11/9/2009,0,,11/9/2010,8,,11/9/2010,3,,11/9/2011,26,,11/9/2011,2,,11/9/2012,5,,11/9/2012,1,,11/9/2013,39,,11/9/2013,0,,11/9/2014,40,,11/9/2014,3,,11/9/2015,-2,,11/9/2015,0,,11/9/2016,14,,11/9/2016,2,,11/9/2017,7,,11/9/2017,15,,11/9/2018,0,,11/9/2018,0,11/9
0,11/10,11/10/2007,136,,11/10/2007,16,,11/10/2008,21,,11/10/2008,2,,11/10/2009,18,,11/10/2009,0,,11/10/2010,8,,11/10/2010,6,,11/10/2011,19,,11/10/2011,0,,11/10/2012,9,,11/10/2012,0,,11/10/2013,36,,11/10/2013,0,,11/10/2014,22,,11/10/2014,2,,11/10/2015,0,,11/10/2015,0,,11/10/2016,10,,11/10/2016,6,,11/10/2017,11,,11/10/2017,97,,11/10/2018,1,,11/10/2018,0,11/10
0,11/11,11/11/2007,90,,11/11/2007,19,,11/11/2008,21,,11/11/2008,2,,11/11/2009,29,,11/11/2009,0,,11/11/2010,8,,11/11/2010,4,,11/11/2011,20,,11/11/2011,0,,11/11/2012,-7,,11/11/2012,0,,11/11/2013,26,,11/11/2013,2,,11/11/2014,23,,11/11/2014,0,,11/11/2015,1,,11/11/2015,0,,11/11/2016,9,,11/11/2016,14,,11/11/2017,27,,11/11/2017,56,,11/11/2018,0,,11/11/2018,0,11/11
